,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,label,ph,Location,Nitrogen Content    ( kg ha-1),Electrical Conductivity      (dSm-1),Organic Carbon (%)
917,53.77962115,56.08487306,53.14622845,54.62997381,0.435589206,0.396141666,0.446084485,0.416163986,0.023310043,0.020535667,0.022516112,0.022644363,4871.243092,5196.713556,4764.054562,5024.388394,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
918,58.84986085,60.3233069,58.39653376,60.85347712,0.378750065,0.352339278,0.390279001,0.347985215,0.021054658,0.019871611,0.021451244,0.019834684,5804.705575,6039.945188,5684.86356,6080.046065,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
919,58.68494479,59.98701535,58.34899425,60.55099294,0.366510767,0.341165547,0.375588442,0.336180101,0.02066697,0.02049187,0.020576879,0.01903521,5723.877404,5941.745108,5628.797809,5985.166109,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
920,59.68647096,61.42825707,59.27640086,60.89603186,0.364334318,0.335446653,0.374102609,0.340401483,0.019607651,0.019259589,0.020847957,0.0210567,5901.405404,6155.951426,5794.44903,6109.878319,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
921,53.00779244,54.23459664,53.32455101,55.7213392,0.443192754,0.421426047,0.444509871,0.3954705,0.023668249,0.023473068,0.023582203,0.022361048,4785.424167,4963.673674,4772.221139,5186.687659,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
922,55.00829518,57.29764676,55.1126796,55.99017968,0.385822612,0.343604274,0.388250324,0.366408921,0.02191185,0.021166408,0.021819424,0.021540569,5044.339797,5377.087128,5018.210812,5191.013348,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
923,55.82353892,57.79166364,55.12209052,57.12690041,0.422787393,0.392417138,0.436706611,0.396264003,0.023610815,0.021961679,0.023455169,0.022618252,5288.046072,5558.00291,5150.518822,5522.800829,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
924,55.13038872,56.28571688,54.73415948,57.40454281,0.434119485,0.411708424,0.443774583,0.396794517,0.023858338,0.022326447,0.022816795,0.021107916,5168.092522,5345.750473,5045.906932,5482.359733,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
925,53.64571326,56.12379065,54.00068247,54.80899469,0.406515727,0.361504756,0.405687564,0.384837532,0.022140839,0.020396935,0.021464514,0.021656878,4812.44952,5177.273423,4822.082974,4987.177075,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
926,58.63813628,59.97881356,58.22077945,60.48365098,0.379194575,0.35449696,0.389792566,0.34953029,0.020934415,0.020727378,0.020751464,0.020066693,5746.819337,5962.706827,5635.939242,6007.718466,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
